# q20(t) of the BDNK run, frame F1, eta_hat=0.03, N=24, sigma_KO=0.005, dt=0.20dx. gamma_per_period = envelope damping rate x P.
t_over_P,q,gamma_per_period
5.652238,-1.76045899e-05,0.421493
5.671796,-1.49918223e-05,0.421493
5.691354,-1.22130957e-05,0.421493
5.710912,-9.31726347e-06,0.421493
5.730470,-6.35276156e-06,0.421493
5.750028,-3.36672637e-06,0.421493
5.769586,-4.04250185e-07,0.421493
5.789144,2.49221649e-06,0.421493
5.808701,5.28331587e-06,0.421493
5.828259,7.93309549e-06,0.421493
5.847817,1.04091977e-05,0.421493
5.867375,1.26829460e-05,0.421493
5.886933,1.47293530e-05,0.421493
5.906491,1.65270740e-05,0.421493
5.926049,1.80583307e-05,0.421493
5.945607,1.93088283e-05,0.421493
5.965165,2.02676830e-05,0.421493
5.984723,2.09273724e-05,0.421493
6.004281,2.12837187e-05,0.421493
6.023839,2.13359026e-05,0.421493
6.043396,2.10865063e-05,0.421493
6.062954,2.05415741e-05,0.421493
6.082512,1.97106772e-05,0.421493
6.102070,1.86069657e-05,0.421493
6.121628,1.72471896e-05,0.421493
6.141186,1.56516701e-05,0.421493
6.160744,1.38442039e-05,0.421493
6.180302,1.18518869e-05,0.421493
6.199860,9.70484780e-06,0.421493
6.219418,7.43588549e-06,0.421493
6.238976,5.08001092e-06,0.421493
6.258534,2.67390025e-06,0.421493
6.278091,2.55269911e-07,0.421493
6.297649,-2.13780960e-06,0.421493
6.317207,-4.46764095e-06,0.421493
6.336765,-6.69764471e-06,0.421493
6.356323,-8.79309672e-06,0.421493
6.375881,-1.07218326e-05,0.421493
6.395439,-1.24548951e-05,0.421493
6.414997,-1.39671022e-05,0.421493
6.434555,-1.52375179e-05,0.421493
6.454113,-1.62498095e-05,0.421493
6.473671,-1.69924850e-05,0.421493
6.493229,-1.74590036e-05,0.421493
6.512786,-1.76477615e-05,0.421493
6.532344,-1.75619596e-05,0.421493
6.551902,-1.72093624e-05,0.421493
6.571460,-1.66019632e-05,0.421493
6.591018,-1.57555726e-05,0.421493
6.610576,-1.46893478e-05,0.421493
6.630134,-1.34252835e-05,0.421493
6.649692,-1.19876827e-05,0.421493
6.669250,-1.04026248e-05,0.421493
6.688808,-8.69744684e-06,0.421493
6.708366,-6.90025090e-06,0.421493
6.727924,-5.03944700e-06,0.421493
6.747481,-3.14333801e-06,0.421493
6.767039,-1.23974969e-06,0.421493
6.786597,6.44293803e-07,0.421493
6.806155,2.48285163e-06,0.421493
6.825713,4.25130928e-06,0.421493
6.845271,5.92658891e-06,0.421493
6.864829,7.48733305e-06,0.421493
6.884387,8.91406830e-06,0.421493
6.903945,1.01893543e-05,0.421493
6.923503,1.12979228e-05,0.421493
6.943061,1.22268088e-05,0.421493
6.962619,1.29654759e-05,0.421493
6.982176,1.35059336e-05,0.421493
7.001734,1.38428439e-05,0.421493
7.021292,1.39736139e-05,0.421493
7.040850,1.38984663e-05,0.421493
7.060408,1.36204832e-05,0.421493
7.079966,1.31456154e-05,0.421493
7.099524,1.24826510e-05,0.421493
7.119082,1.16431375e-05,0.421493
7.138640,1.06412523e-05,0.421493
7.158198,9.49362140e-06,0.421493
7.177756,8.21908277e-06,0.421493
7.197314,6.83839880e-06,0.421493
7.216872,5.37392067e-06,0.421493
7.236429,3.84921146e-06,0.421493
7.255987,2.28863632e-06,0.421493
7.275545,7.16929742e-07,0.421493
7.295103,-8.41248898e-07,0.421493
7.314661,-2.36175964e-06,0.421493
7.334219,-3.82141401e-06,0.421493
7.353777,-5.19838329e-06,0.421493
7.373335,-6.47257226e-06,0.421493
7.392893,-7.62594913e-06,0.421493
7.412451,-8.64282394e-06,0.421493
7.432009,-9.51007009e-06,0.421493
7.451567,-1.02172853e-05,0.421493
7.471124,-1.07568909e-05,0.421493
7.490682,-1.11241707e-05,0.421493
7.510240,-1.13172513e-05,0.421493
7.529798,-1.13370296e-05,0.421493
7.549356,-1.11870525e-05,0.421493
7.568914,-1.08733556e-05,0.421493
7.588472,-1.04042689e-05,0.421493
7.608030,-9.79019602e-06,0.421493
7.627588,-9.04337526e-06,0.421493
7.647146,-8.17762821e-06,0.421493
7.666704,-7.20810272e-06,0.421493
7.686262,-6.15101486e-06,0.421493
7.705819,-5.02339383e-06,0.421493
7.725377,-3.84283293e-06,0.421493
7.744935,-2.62724835e-06,0.421493
7.764493,-1.39464696e-06,0.421493
7.784051,-1.62903452e-07,0.421493
7.803609,1.05045331e-06,0.421493
7.823167,2.22844493e-06,0.421493
7.842725,3.35483958e-06,0.421493
7.862283,4.41433953e-06,0.421493
7.881841,5.39276011e-06,0.421493
7.901399,6.27719908e-06,0.421493
7.920957,7.05619539e-06,0.421493
7.940514,7.71987524e-06,0.421493
7.960072,8.26008318e-06,0.421493
7.979630,8.67049531e-06,0.421493
7.999188,8.94671153e-06,0.421493
8.018746,9.08632368e-06,0.421493
8.038304,9.08895631e-06,0.421493
8.057862,8.95627753e-06,0.421493
8.077420,8.69197758e-06,0.421493
8.096978,8.30171370e-06,0.421493
8.116536,7.79302064e-06,0.421493
8.136094,7.17518719e-06,0.421493
8.155652,6.45910019e-06,0.421493
8.175209,5.65705844e-06,0.421493
8.194767,4.78256000e-06,0.421493
8.214325,3.85006724e-06,0.421493
8.233883,2.87475473e-06,0.421493
8.253441,1.87224559e-06,0.421493
8.272999,8.58342485e-07,0.421493
8.292557,-1.51240961e-07,0.421493
8.312115,-1.14114196e-06,0.421493
8.331673,-2.09659814e-06,0.421493
8.351231,-3.00367967e-06,0.421493
8.370789,-3.84949949e-06,0.421493
8.390347,-4.62239794e-06,0.421493
8.409904,-5.31209923e-06,0.421493
8.429462,-5.90983763e-06,0.421493
8.449020,-6.40845283e-06,0.421493
8.468578,-6.80245418e-06,0.421493
8.488136,-7.08805469e-06,0.421493
8.507694,-7.26317622e-06,0.421493
8.527252,-7.32742787e-06,0.421493
8.546810,-7.28205977e-06,0.421493
8.566368,-7.12989514e-06,0.421493
8.585926,-6.87524311e-06,0.421493
8.605484,-6.52379509e-06,0.421493
8.625042,-6.08250740e-06,0.421493
8.644599,-5.55947238e-06,0.421493
8.664157,-4.96378024e-06,0.421493
8.683715,-4.30537361e-06,0.421493
8.703273,-3.59489646e-06,0.421493
8.722831,-2.84353870e-06,0.421493
8.742389,-2.06287802e-06,0.421493
8.761947,-1.26471994e-06,0.421493
8.781505,-4.60937285e-07,0.421493
8.801063,3.36689608e-07,0.421493
8.820621,1.11663090e-06,0.421493
8.840179,1.86776187e-06,0.421493
8.859737,2.57951274e-06,0.421493
8.879294,3.24201186e-06,0.421493
8.898852,3.84622040e-06,0.421493
8.918410,4.38405659e-06,0.421493
8.937968,4.84850736e-06,0.421493
8.957526,5.23372533e-06,0.421493
8.977084,5.53510909e-06,0.421493
8.996642,5.74936506e-06,0.421493
