t,rhoc,errD,Mb,q00,q20,q22,vatm
59.537,1.2814076566e-03,8.347356e-04,1.5061892662e+00,1.5061884735e+00,-1.1121494117e-02,-8.1602154484e-16,1.7233e-01
60.581,1.2810692925e-03,7.266025e-04,1.5061897603e+00,1.5061889679e+00,-1.2992184678e-02,1.8046576728e-15,1.7592e-01
61.626,1.2806587150e-03,6.431678e-04,1.5061902293e+00,1.5061894371e+00,-1.4805095256e-02,2.3166239224e-15,1.7521e-01
62.670,1.2801957350e-03,6.127691e-04,1.5061907459e+00,1.5061899539e+00,-1.6595406321e-02,-3.4637733040e-15,1.7705e-01
63.715,1.2797066331e-03,6.530915e-04,1.5061910859e+00,1.5061902943e+00,-1.8314436651e-02,1.0596634233e-15,1.5965e-01
64.759,1.2792209118e-03,7.523959e-04,1.5061915757e+00,1.5061907844e+00,-1.9960417082e-02,-7.7708315084e-16,1.2945e-01
65.804,1.2787676133e-03,8.836551e-04,1.5061919875e+00,1.5061911964e+00,-2.1564565747e-02,1.7768937645e-15,1.3020e-01
66.848,1.2783720080e-03,1.029957e-03,1.5061935014e+00,1.5061927106e+00,-2.2917933062e-02,1.3322569675e-15,1.3356e-01
67.893,1.2780531243e-03,1.158080e-03,1.5061939883e+00,1.5061931977e+00,-2.4348431927e-02,1.4154161937e-15,1.3555e-01
68.937,1.2778224614e-03,1.266739e-03,1.5061943563e+00,1.5061935658e+00,-2.5711299165e-02,-5.0474477080e-15,1.3693e-01
69.982,1.2776839008e-03,1.349031e-03,1.5061947724e+00,1.5061939820e+00,-2.6974354987e-02,1.1962686487e-15,1.3782e-01
71.026,1.2776346080e-03,1.401389e-03,1.5061951951e+00,1.5061944047e+00,-2.8137185460e-02,1.4720261861e-15,1.3851e-01
72.071,1.2776665927e-03,1.422648e-03,1.5061955990e+00,1.5061948087e+00,-2.9198281262e-02,-3.7663289137e-15,1.3945e-01
73.115,1.2777685071e-03,1.413658e-03,1.5061959350e+00,1.5061951446e+00,-3.0157459232e-02,7.3942244334e-17,1.4558e-01
74.160,1.2779273155e-03,1.376632e-03,1.5061963106e+00,1.5061955201e+00,-3.0997441421e-02,5.3940027862e-15,1.4926e-01
75.204,1.2781296247e-03,1.314995e-03,1.5061965715e+00,1.5061957809e+00,-3.1728224776e-02,-9.5295202162e-16,1.5429e-01
76.249,1.2783626490e-03,1.232783e-03,1.5061968831e+00,1.5061960923e+00,-3.2335630450e-02,6.5230190258e-16,1.5576e-01
77.293,1.2786148726e-03,1.134800e-03,1.5061971332e+00,1.5061963423e+00,-3.2821734426e-02,2.1770358179e-15,1.5835e-01
78.338,1.2788765026e-03,1.026411e-03,1.5061974723e+00,1.5061966812e+00,-3.3171206112e-02,-2.7968631175e-15,1.6310e-01
79.382,1.2791397295e-03,9.141849e-04,1.5061977164e+00,1.5061969251e+00,-3.3402607552e-02,-1.9364209471e-15,1.6771e-01
80.427,1.2793988151e-03,8.057858e-04,1.5061979619e+00,1.5061971705e+00,-3.3501944700e-02,1.9674788879e-16,1.7217e-01
81.471,1.2796499436e-03,7.106815e-04,1.5061982712e+00,1.5061974796e+00,-3.3463968985e-02,2.5063439605e-15,1.7650e-01
82.516,1.2798908683e-03,6.399113e-04,1.5061985935e+00,1.5061978017e+00,-3.3296685072e-02,-1.3969658348e-15,1.7630e-01
83.560,1.2801203816e-03,6.035650e-04,1.5061988636e+00,1.5061980718e+00,-3.2991531517e-02,-2.9265600448e-15,1.8049e-01
84.605,1.2803377471e-03,6.056570e-04,1.5061991934e+00,1.5061984014e+00,-3.2559356325e-02,-3.7387107266e-15,1.8444e-01
85.649,1.2805422182e-03,6.414638e-04,1.5061995174e+00,1.5061987253e+00,-3.1998197212e-02,-2.3538997603e-15,1.8835e-01
86.694,1.2807327152e-03,6.999199e-04,1.5061999478e+00,1.5061991556e+00,-3.1312620944e-02,1.1904316793e-15,1.9211e-01
87.738,1.2809077276e-03,7.698296e-04,1.5062003644e+00,1.5061995721e+00,-3.0508150087e-02,-2.0160588685e-15,1.9572e-01
88.783,1.2810653910e-03,8.419198e-04,1.5062008183e+00,1.5062000259e+00,-2.9587144270e-02,2.8778496527e-15,1.9910e-01
89.827,1.2812036013e-03,9.096181e-04,1.5062012108e+00,1.5062004182e+00,-2.8545294583e-02,2.3202785229e-15,2.0203e-01
90.872,1.2813200957e-03,9.683460e-04,1.5062015810e+00,1.5062007884e+00,-2.7390802183e-02,4.1466727663e-15,2.0377e-01
91.916,1.2814125130e-03,1.014999e-03,1.5062019363e+00,1.5062011436e+00,-2.6133711757e-02,-1.3287605059e-15,1.6526e-01
92.961,1.2814785206e-03,1.047543e-03,1.5062023452e+00,1.5062015525e+00,-2.4781854831e-02,-6.0905800575e-16,1.7064e-01
94.005,1.2815160742e-03,1.064841e-03,1.5062027794e+00,1.5062019867e+00,-2.3337401926e-02,3.9379975583e-16,1.7554e-01
95.050,1.2815237150e-03,1.066379e-03,1.5062031981e+00,1.5062024054e+00,-2.1808637769e-02,4.2141983999e-15,1.8009e-01
96.094,1.2815007543e-03,1.052145e-03,1.5062036467e+00,1.5062028540e+00,-2.0206317334e-02,-8.2317033903e-16,1.8438e-01
97.139,1.2814472475e-03,1.022996e-03,1.5062040759e+00,1.5062032833e+00,-1.8535074379e-02,-3.9612602080e-15,1.8847e-01
98.183,1.2813637986e-03,9.807571e-04,1.5062045552e+00,1.5062037625e+00,-1.6803337569e-02,2.7884827215e-15,1.9239e-01
99.228,1.2812513660e-03,9.283837e-04,1.5062050018e+00,1.5062042092e+00,-1.5018587760e-02,9.4266629587e-15,1.9616e-01
100.272,1.2811112480e-03,8.697523e-04,1.5062055077e+00,1.5062047152e+00,-1.3186094916e-02,6.8495691251e-15,1.9979e-01
101.317,1.2809453218e-03,8.097298e-04,1.5062060691e+00,1.5062052767e+00,-1.1307363352e-02,1.5103006704e-15,2.0135e-01
102.361,1.2807564640e-03,7.546393e-04,1.5062065965e+00,1.5062058042e+00,-9.4141350148e-03,4.0163982372e-16,2.0475e-01
