t,rhoc,errD,Mb,q00,q20,q22,vatm
108.688,1.2798582829e-03,2.971964e-04,1.5058481537e+00,1.5058267777e+00,-4.1637518809e-15,-1.9806267920e-15,0.0000e+00
109.714,1.2798616922e-03,2.959223e-04,1.5058481669e+00,1.5058267908e+00,6.2007336453e-16,-2.2926872823e-15,0.0000e+00
110.739,1.2798653983e-03,2.945320e-04,1.5058481802e+00,1.5058268041e+00,-5.5822271361e-15,-1.9331658419e-15,0.0000e+00
111.764,1.2798693927e-03,2.930454e-04,1.5058481936e+00,1.5058268174e+00,9.8218598323e-15,-6.9595563787e-16,0.0000e+00
112.790,1.2798736687e-03,2.914832e-04,1.5058482070e+00,1.5058268307e+00,1.4580436719e-14,-2.5975649332e-15,0.0000e+00
113.815,1.2798782145e-03,2.898662e-04,1.5058482205e+00,1.5058268442e+00,1.1544670636e-14,-3.0906329762e-15,0.0000e+00
114.840,1.2798830071e-03,2.882154e-04,1.5058482340e+00,1.5058268576e+00,1.0622624451e-14,-2.9738101921e-15,0.0000e+00
115.866,1.2798880098e-03,2.865512e-04,1.5058482476e+00,1.5058268711e+00,-2.3516976873e-15,5.6142072662e-16,0.0000e+00
116.891,1.2798931723e-03,2.848930e-04,1.5058482612e+00,1.5058268847e+00,-1.2692763799e-14,6.6181784779e-16,0.0000e+00
117.916,1.2798984344e-03,2.832592e-04,1.5058482749e+00,1.5058268982e+00,-7.2077307987e-15,-2.6782837850e-15,0.0000e+00
118.942,1.2799037301e-03,2.816663e-04,1.5058482885e+00,1.5058269118e+00,-4.4775470987e-15,-4.7884415283e-16,0.0000e+00
119.967,1.2799089936e-03,2.801294e-04,1.5058483022e+00,1.5058269254e+00,5.8793754685e-15,-2.0969616852e-15,0.0000e+00
120.993,1.2799141643e-03,2.786614e-04,1.5058483159e+00,1.5058269389e+00,-4.6420476746e-15,-1.8706073766e-15,0.0000e+00
122.018,1.2799191917e-03,2.772735e-04,1.5058483295e+00,1.5058269525e+00,-7.0507518793e-15,2.3234389923e-15,0.0000e+00
123.043,1.2799240384e-03,2.759748e-04,1.5058483432e+00,1.5058269661e+00,-9.9472115362e-15,-2.7248231632e-15,0.0000e+00
124.069,1.2799286800e-03,2.747726e-04,1.5058483568e+00,1.5058269796e+00,8.6155900410e-15,-1.4769064627e-15,0.0000e+00
125.094,1.2799331035e-03,2.736720e-04,1.5058483704e+00,1.5058269931e+00,8.2636992504e-16,-2.8359267809e-15,0.0000e+00
