# q20(t) of the ideal cut-cell run, N=24, sigma_KO=0.005 (same as the BDNK series), seed (2,0). t in f-mode periods. gamma_per_period = envelope damping rate x P (numerical floor).
t_over_P,q,gamma_per_period
3.621771,-1.83209346e-04,0.142474
3.640440,-1.69910189e-04,0.142474
3.659109,-1.51950572e-04,0.142474
3.677777,-1.29765106e-04,0.142474
3.696446,-1.03973698e-04,0.142474
3.715115,-7.53535283e-05,0.142474
3.733784,-4.48027366e-05,0.142474
3.752453,-1.32978785e-05,0.142474
3.771122,1.81524592e-05,0.142474
3.789791,4.85552972e-05,0.142474
3.808460,7.69795272e-05,0.142474
3.827129,1.02598276e-04,0.142474
3.845798,1.24725097e-04,0.142474
3.864467,1.42842095e-04,0.142474
3.883136,1.56618571e-04,0.142474
3.901805,1.65919338e-04,0.142474
3.920473,1.70802440e-04,0.142474
3.939142,1.71506643e-04,0.142474
3.957811,1.68429610e-04,0.142474
3.976480,1.62098222e-04,0.142474
3.995149,1.53132897e-04,0.142474
4.013818,1.42208110e-04,0.142474
4.032487,1.30011464e-04,0.142474
4.051156,1.17203717e-04,0.142474
4.069825,1.04382075e-04,0.142474
4.088494,9.20488162e-05,0.142474
4.107163,8.05869774e-05,0.142474
4.125832,7.02443666e-05,0.142474
4.144500,6.11266784e-05,0.142474
4.163169,5.31999150e-05,0.142474
4.181838,4.63017708e-05,0.142474
4.200507,4.01611073e-05,0.142474
4.219176,3.44241745e-05,0.142474
4.237845,2.86858487e-05,0.142474
4.256514,2.25238805e-05,0.142474
4.275183,1.55339883e-05,0.142474
4.293852,7.36360422e-06,0.142474
4.312521,-2.25781464e-06,0.142474
4.331190,-1.34937760e-05,0.142474
4.349859,-2.63825740e-05,0.142474
4.368528,-4.08270545e-05,0.142474
4.387196,-5.65929559e-05,0.142474
4.405865,-7.33159400e-05,0.142474
4.424534,-9.05169121e-05,0.142474
4.443203,-1.07624741e-04,0.142474
4.461872,-1.24005058e-04,0.142474
4.480541,-1.38993446e-04,0.142474
4.499210,-1.51931120e-04,0.142474
4.517879,-1.62200995e-04,0.142474
4.536548,-1.69262098e-04,0.142474
4.555217,-1.72680324e-04,0.142474
4.573886,-1.72153786e-04,0.142474
4.592555,-1.67531325e-04,0.142474
4.611224,-1.58823134e-04,0.142474
4.629892,-1.46202917e-04,0.142474
4.648561,-1.30001482e-04,0.142474
4.667230,-1.10692163e-04,0.142474
4.685899,-8.88689094e-05,0.142474
4.704568,-6.52183127e-05,0.142474
4.723237,-4.04871397e-05,0.142474
4.741906,-1.54472067e-05,0.142474
4.760575,9.14046140e-06,0.142474
4.779244,3.25602202e-05,0.142474
4.797913,5.41732740e-05,0.142474
4.816582,7.34443585e-05,0.142474
4.835251,8.99622685e-05,0.142474
4.853919,1.03453232e-04,0.142474
4.872588,1.13786558e-04,0.142474
4.891257,1.20972423e-04,0.142474
4.909926,1.25152141e-04,0.142474
4.928595,1.26581641e-04,0.142474
4.947264,1.25609308e-04,0.142474
4.965933,1.22649586e-04,0.142474
4.984602,1.18154024e-04,0.142474
5.003271,1.12581503e-04,0.142474
5.021940,1.06369439e-04,0.142474
5.040609,9.99076377e-05,0.142474
5.059278,9.35163115e-05,0.142474
5.077947,8.74294743e-05,0.142474
5.096615,8.17845991e-05,0.142474
5.115284,7.66190365e-05,0.142474
5.133953,7.18732706e-05,0.142474
5.152622,6.74006854e-05,0.142474
5.171291,6.29831221e-05,0.142474
5.189960,5.83511700e-05,0.142474
5.208629,5.32078595e-05,0.142474
5.227298,4.72542363e-05,0.142474
5.245967,4.02151931e-05,0.142474
5.264636,3.18639363e-05,0.142474
5.283305,2.20435594e-05,0.142474
5.301974,1.06843747e-05,0.142474
5.320643,-2.18407801e-06,0.142474
5.339311,-1.64271075e-05,0.142474
5.357980,-3.18054261e-05,0.142474
5.376649,-4.79821928e-05,0.142474
5.395318,-6.45361667e-05,0.142474
5.413987,-8.09802388e-05,0.142474
5.432656,-9.67842920e-05,0.142474
5.451325,-1.11401091e-04,0.142474
5.469994,-1.24293730e-04,0.142474
5.488663,-1.34963082e-04,0.142474
5.507332,-1.42973694e-04,0.142474
5.526001,-1.47976675e-04,0.142474
5.544670,-1.49728284e-04,0.142474
5.563338,-1.48103205e-04,0.142474
5.582007,-1.43101775e-04,0.142474
5.600676,-1.34850786e-04,0.142474
5.619345,-1.23597863e-04,0.142474
5.638014,-1.09699757e-04,0.142474
5.656683,-9.36052420e-05,0.142474
5.675352,-7.58336102e-05,0.142474
5.694021,-5.69499724e-05,0.142474
5.712690,-3.75387557e-05,0.142474
5.731359,-1.81768594e-05,0.142474
5.750028,5.92066854e-07,0.142474
5.768697,1.82808461e-05,0.142474
5.787366,3.44782860e-05,0.142474
5.806034,4.88639985e-05,0.142474
5.824703,6.12178282e-05,0.142474
5.843372,7.14235139e-05,0.142474
5.862041,7.94665404e-05,0.142474
5.880710,8.54264752e-05,0.142474
5.899379,8.94643947e-05,0.142474
5.918048,9.18062766e-05,0.142474
5.936717,9.27234517e-05,0.142474
5.955386,9.25113586e-05,0.142474
5.974055,9.14679192e-05,0.142474
5.992724,8.98728471e-05,0.142474
6.011393,8.79691246e-05,0.142474
6.030062,8.59477276e-05,0.142474
6.048730,8.39364665e-05,0.142474
6.067399,8.19935501e-05,0.142474
6.086068,8.01061831e-05,0.142474
6.104737,7.81942011e-05,0.142474
6.123406,7.61184414e-05,0.142474
6.142075,7.36932647e-05,0.142474
6.160744,7.07023961e-05,0.142474
6.179413,6.69170611e-05,0.142474
6.198082,6.21152621e-05,0.142474
6.216751,5.61009765e-05,0.142474
6.235420,4.87220735e-05,0.142474
6.254089,3.98858248e-05,0.142474
6.272757,2.95710366e-05,0.142474
6.291426,1.78360317e-05,0.142474
6.310095,4.82196246e-06,0.142474
6.328764,-9.24879006e-06,0.142474
6.347433,-2.40790839e-05,0.142474
6.366102,-3.93080187e-05,0.142474
6.384771,-5.45258766e-05,0.142474
6.403440,-6.92921784e-05,0.142474
6.422109,-8.31558510e-05,0.142474
6.440778,-9.56763868e-05,0.142474
6.459447,-1.06444816e-04,0.142474
6.478116,-1.15103337e-04,0.142474
6.496785,-1.21362515e-04,0.142474
6.515453,-1.25015125e-04,0.142474
6.534122,-1.25945889e-04,0.142474
6.552791,-1.24136594e-04,0.142474
6.571460,-1.19666369e-04,0.142474
6.590129,-1.12707126e-04,0.142474
6.608798,-1.03514474e-04,0.142474
6.627467,-9.24146646e-05,0.142474
6.646136,-7.97883129e-05,0.142474
6.664805,-6.60518347e-05,0.142474
6.683474,-5.16376477e-05,0.142474
6.702143,-3.69742277e-05,0.142474
6.720812,-2.24671078e-05,0.142474
6.739481,-8.48183409e-06,0.142474
6.758149,4.67024261e-06,0.142474
6.776818,1.67426324e-05,0.142474
6.795487,2.75603448e-05,0.142474
6.814156,3.70222535e-05,0.142474
6.832825,4.50991928e-05,0.142474
6.851494,5.18280384e-05,0.142474
6.870163,5.73022542e-05,0.142474
6.888832,6.16595813e-05,0.142474
6.907501,6.50677010e-05,0.142474
6.926170,6.77088054e-05,0.142474
6.944839,6.97640542e-05,0.142474
6.963508,7.13988867e-05,0.142474
6.982176,7.27500847e-05,0.142474
7.000845,7.39153644e-05,0.142474
7.019514,7.49461072e-05,0.142474
7.038183,7.58436396e-05,0.142474
7.056852,7.65592528e-05,0.142474
7.075521,7.69979179e-05,0.142474
7.094190,7.70254325e-05,0.142474
7.112859,7.64785233e-05,0.142474
7.131528,7.51772539e-05,0.142474
7.150197,7.29389513e-05,0.142474
7.168866,6.95927738e-05,0.142474
7.187535,6.49940102e-05,0.142474
7.206204,5.90372153e-05,0.142474
7.224872,5.16673597e-05,0.142474
7.243541,4.28882915e-05,0.142474
7.262210,3.27679655e-05,0.142474
7.280879,2.14400874e-05,0.142474
7.299548,9.10203138e-06,0.142474
7.318217,-3.99089399e-06,0.142474
7.336886,-1.75345454e-05,0.142474
7.355555,-3.11879278e-05,0.142474
7.374224,-4.45874155e-05,0.142474
7.392893,-5.73624397e-05,0.142474
7.411562,-6.91517864e-05,0.142474
7.430231,-7.96196223e-05,0.142474
7.448900,-8.84703801e-05,0.142474
7.467568,-9.54617066e-05,0.142474
7.486237,-1.00414790e-04,0.142474
7.504906,-1.03221534e-04,0.142474
7.523575,-1.03848225e-04,0.142474
7.542244,-1.02335541e-04,0.142474
7.560913,-9.87949547e-05,0.142474
7.579582,-9.34017750e-05,0.142474
7.598251,-8.63852705e-05,0.142474
7.616920,-7.80164557e-05,0.142474
7.635589,-6.85942540e-05,0.142474
7.654258,-5.84308234e-05,0.142474
7.672927,-4.78368627e-05,0.142474
7.691595,-3.71077021e-05,0.142474
7.710264,-2.65109190e-05,0.142474
7.728933,-1.62761174e-05,0.142474
7.747602,-6.58737094e-06,0.142474
7.766271,2.42133562e-06,0.142474
7.784940,1.06675120e-05,0.142474
7.803609,1.81184490e-05,0.142474
7.822278,2.47866018e-05,0.142474
7.840947,3.07224514e-05,0.142474
7.859616,3.60053679e-05,0.142474
7.878285,4.07331070e-05,0.142474
7.896954,4.50106396e-05,0.142474
7.915623,4.89390432e-05,0.142474
7.934291,5.26051631e-05,0.142474
7.952960,5.60726977e-05,0.142474
7.971629,5.93752594e-05,0.142474
7.990298,6.25118392e-05,0.142474
8.008967,6.54449469e-05,0.142474
8.027636,6.81015337e-05,0.142474
8.046305,7.03766302e-05,0.142474
8.064974,7.21394683e-05,0.142474
8.083643,7.32417041e-05,0.142474
8.102312,7.35272301e-05,0.142474
8.120981,7.28429724e-05,0.142474
8.139650,7.10500071e-05,0.142474
8.158319,6.80343110e-05,0.142474
8.176987,6.37164846e-05,0.142474
8.195656,5.80598440e-05,0.142474
8.214325,5.10763731e-05,0.142474
8.232994,4.28301548e-05,0.142474
8.251663,3.34380424e-05,0.142474
8.270332,2.30674954e-05,0.142474
8.289001,1.19316636e-05,0.142474
8.307670,2.81963813e-07,0.142474
8.326339,-1.16014665e-05,0.142474
8.345008,-2.34209347e-05,0.142474
8.363677,-3.48733816e-05,0.142474
8.382346,-4.56629465e-05,0.142474
8.401015,-5.55132397e-05,0.142474
8.419683,-6.41786762e-05,0.142474
8.438352,-7.14542830e-05,0.142474
8.457021,-7.71834771e-05,0.142474
8.475690,-8.12634352e-05,0.142474
8.494359,-8.36478080e-05,0.142474
8.513028,-8.43466843e-05,0.142474
8.531697,-8.34238637e-05,0.142474
8.550366,-8.09916438e-05,0.142474
8.569035,-7.72034605e-05,0.142474
8.587704,-7.22448354e-05,0.142474
8.606373,-6.63231673e-05,0.142474
8.625042,-5.96569577e-05,0.142474
8.643710,-5.24650809e-05,0.142474
8.662379,-4.49566886e-05,0.142474
8.681048,-3.73222918e-05,0.142474
8.699717,-2.97264795e-05,0.142474
8.718386,-2.23026279e-05,0.142474
8.737055,-1.51498296e-05,0.142474
8.755724,-8.33213542e-06,0.142474
8.774393,-1.88006160e-06,0.142474
8.793062,4.20581573e-06,0.142474
8.811731,9.94948198e-06,0.142474
8.830400,1.53927229e-05,0.142474
8.849069,2.05874590e-05,0.142474
8.867738,2.55876998e-05,0.142474
8.886406,3.04416566e-05,0.142474
8.905075,3.51845331e-05,0.142474
8.923744,3.98324656e-05,0.142474
8.942413,4.43780069e-05,0.142474
8.961082,4.87874485e-05,0.142474
8.979751,5.30001590e-05,0.142474
8.998420,5.69299926e-05,0.142474
